Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"483", 0.4, 1,     234.86,  -29.8,     1.017, 2,    235.706, -150.2,    1.0206, 3,    237.972,   90.1,    1.0304
"484", 0.4, 1,    234.755,  -29.7,    1.0165, 2,    235.707, -150.2,    1.0206, 3,    237.973,   90.1,    1.0305
"485", 0.4, 1,    234.982,  -29.8,    1.0175, 2,     235.82, -150.2,    1.0211, 3,    237.941,   90.1,    1.0303
"486", 0.4, 1,    235.823,  -29.9,    1.0211, 2,    236.232, -150.1,    1.0229, 3,    237.518,   90.0,    1.0285
"487", 0.4, 1,    235.675,  -29.8,    1.0205, 2,    236.013, -150.1,     1.022, 3,    237.545,   90.0,    1.0286
"488", 0.4, 1,    235.786,  -29.9,     1.021, 2,    236.177, -150.1,    1.0227, 3,    237.599,   90.0,    1.0288
"489", 0.4, 1,    235.882,  -29.9,    1.0214, 2,    236.313, -150.1,    1.0233, 3,    237.672,   90.0,    1.0291
"490", 0.4, 1,    234.822,  -29.7,    1.0168, 2,    235.604, -150.2,    1.0202, 3,    237.971,   90.1,    1.0304
"491", 0.4, 1,    234.845,  -29.8,    1.0169, 2,    235.664, -150.2,    1.0205, 3,    237.972,   90.1,    1.0304
"492", 0.4, 1,    234.752,  -29.7,    1.0165, 2,    235.707, -150.2,    1.0206, 3,    237.973,   90.1,    1.0305
"493", 0.4, 1,    234.735,  -29.7,    1.0164, 2,    235.707, -150.2,    1.0206, 3,    237.974,   90.1,    1.0305
"494", 0.4, 1,     234.98,  -29.8,    1.0175, 2,     235.82, -150.2,    1.0211, 3,    237.941,   90.1,    1.0303
"495", 0.4, 1,    235.823,  -29.9,    1.0211, 2,    236.232, -150.1,    1.0229, 3,    237.517,   90.0,    1.0285
"496", 0.4, 1,    235.672,  -29.8,    1.0205, 2,    236.008, -150.1,    1.0219, 3,    237.544,   90.0,    1.0286
"497", 0.4, 1,    235.786,  -29.9,     1.021, 2,    236.177, -150.1,    1.0227, 3,    237.599,   90.0,    1.0288
"498", 0.4, 1,    235.882,  -29.9,    1.0214, 2,    236.313, -150.1,    1.0233, 3,    237.672,   90.0,    1.0291
"499", 0.4, 1,    234.809,  -29.7,    1.0168, 2,    235.567, -150.2,      1.02, 3,     237.97,   90.1,    1.0304
"500", 0.4, 1,    234.822,  -29.7,    1.0168, 2,    235.604, -150.2,    1.0202, 3,    237.971,   90.1,    1.0304
"501", 0.4, 1,    234.751,  -29.7,    1.0165, 2,    235.707, -150.2,    1.0206, 3,    237.973,   90.1,    1.0305
"502", 0.4, 1,    234.721,  -29.7,    1.0164, 2,    235.707, -150.2,    1.0206, 3,    237.974,   90.1,    1.0305
"503", 0.4, 1,    234.978,  -29.8,    1.0175, 2,     235.82, -150.2,    1.0211, 3,    237.941,   90.1,    1.0303
"504", 0.4, 1,    235.823,  -29.9,    1.0211, 2,    236.232, -150.1,    1.0229, 3,    237.516,   90.0,    1.0285
"505", 0.4, 1,    235.597,  -29.8,    1.0202, 2,    235.899, -150.1,    1.0215, 3,    237.508,   90.0,    1.0284
"506", 0.4, 1,    235.786,  -29.9,     1.021, 2,    236.177, -150.1,    1.0227, 3,    237.599,   90.0,    1.0288
"507", 0.4, 1,    235.882,  -29.9,    1.0214, 2,    236.313, -150.1,    1.0233, 3,    237.672,   90.0,    1.0291
"508", 0.4, 1,    234.806,  -29.7,    1.0167, 2,     235.56, -150.2,      1.02, 3,     237.97,   90.1,    1.0304
"509", 0.4, 1,    234.809,  -29.7,    1.0168, 2,    235.567, -150.2,      1.02, 3,     237.97,   90.1,    1.0304
"510", 0.4, 1,     234.75,  -29.7,    1.0165, 2,    235.707, -150.2,    1.0206, 3,    237.973,   90.1,    1.0305
"511", 0.4, 1,    234.976,  -29.8,    1.0175, 2,     235.82, -150.2,    1.0211, 3,    237.941,   90.1,    1.0303
"512", 0.4, 1,    235.823,  -29.9,    1.0211, 2,    236.232, -150.1,    1.0229, 3,    237.515,   90.0,    1.0285
"513", 0.4, 1,    235.597,  -29.8,    1.0202, 2,    235.871, -150.1,    1.0213, 3,    237.508,   90.0,    1.0284
"514", 0.4, 1,    235.585,  -29.8,    1.0201, 2,    235.885, -150.1,    1.0214, 3,    237.502,   90.0,    1.0284
"515", 0.4, 1,    235.786,  -29.9,     1.021, 2,    236.177, -150.1,    1.0227, 3,    237.599,   90.0,    1.0288
"516", 0.4, 1,    234.814,  -29.7,    1.0168, 2,    235.542, -150.2,    1.0199, 3,    237.965,   90.1,    1.0304
"517", 0.4, 1,    234.806,  -29.7,    1.0167, 2,     235.56, -150.2,      1.02, 3,     237.97,   90.1,    1.0304
"518", 0.4, 1,    234.758,  -29.7,    1.0165, 2,     235.56, -150.2,      1.02, 3,    237.971,   90.1,    1.0304
"519", 0.4, 1,     234.75,  -29.7,    1.0165, 2,    235.707, -150.2,    1.0206, 3,    237.973,   90.1,    1.0305
"520", 0.4, 1,    234.975,  -29.8,    1.0175, 2,     235.82, -150.2,    1.0211, 3,    237.941,   90.1,    1.0303
"521", 0.4, 1,    235.823,  -29.9,    1.0211, 2,    236.232, -150.1,    1.0229, 3,    237.514,   90.0,    1.0285
"522", 0.4, 1,    235.598,  -29.8,    1.0202, 2,    235.846, -150.1,    1.0212, 3,    237.508,   90.0,    1.0284
"523", 0.4, 1,    235.578,  -29.8,    1.0201, 2,    235.877, -150.1,    1.0214, 3,    237.499,   90.0,    1.0284
