Node,X,Y
76,378.97200000000885,133.7609999999986
77,358.43599999998696,151.51999999996042
78,379.0480000000098,144.4069999999483
79,395.6130000000121,119.29399999999441
80,386.8890000000247,128.3629999999539
81,379.5119999999879,133.24499999999534
82,357.9349999999977,151.61999999999534
83,383.0,145.43699999997625
84,396.0250000000233,119.00699999998324
85,386.98200000001816,128.42399999999907
86,380.5580000000191,132.25699999998324
87,357.63400000002,151.69599999999627
88,396.8780000000261,118.45100000000093
89,387.0599999999977,128.49399999994785
90,380.7750000000233,131.99199999996927
91,357.5250000000233,151.72199999995064
92,397.74099999998,118.02999999996973
93,380.80300000001444,131.93299999996088
94,357.4920000000275,151.73299999994924
95,398.2299999999814,117.7609999999986
96,380.79999999998836,131.84699999995064
97,357.45799999998417,151.74699999997392
98,398.5559999999823,117.58899999997811
99,380.78100000001723,131.81500000000233
100,357.3829999999725,151.795999999973
101,398.9969999999739,117.33499999996275
102,377.7060000000056,127.76899999997113
103,357.1570000000065,151.97099999996135
104,399.2820000000065,117.37899999995716
105,399.2820000000065,117.15699999994831
106,377.64000000001397,127.55799999996088
107,399.63000000000466,117.40399999998044
108,399.429999999993,117.03699999995297
109,377.5109999999986,127.12599999998929
110,400.0320000000065,117.44799999997485
111,404.4629999999888,111.45199999999022
112,370.27700000000186,117.58099999994738
113,400.6369999999879,117.56699999998091
114,405.00400000001537,110.92799999995623
115,363.5229999999865,109.33199999999488
116,401.4000000000233,117.78199999994831
117,405.76500000001397,111.72999999998137
118,402.4880000000121,108.27599999995437
119,362.77799999999115,108.67299999995157
120,401.92399999999907,118.00399999995716
121,405.94900000002235,111.66599999996834
122,406.1350000000093,112.12099999998463
123,397.8950000000186,103.54699999996228
124,362.19900000002235,108.23699999996461
125,402.64000000001397,118.36999999999534
126,406.1149999999907,111.6359999999986
127,407.8759999999893,113.95499999995809
128,395.83399999997346,101.41599999996834
129,361.6620000000112,107.91699999995762
130,403.40299999999115,118.78800000000047
131,406.23399999999674,111.64199999999255
132,410.57600000000093,111.25099999998929
133,412.8169999999809,119.16199999995297
134,395.2710000000079,100.73699999996461
135,359.8649999999907,107.23999999999069
136,404.07199999998556,119.26299999997718
137,406.4120000000112,111.69000000000233
138,410.79899999999907,111.00899999996182
139,416.5239999999758,123.00599999999395
140,394.6149999999907,99.9879999999539
141,358.4660000000149,107.04399999999441
142,405.07600000000093,120.16399999998976
143,406.60800000000745,111.78499999997439
144,410.97299999999814,110.73699999996461
145,419.01500000001397,125.57199999998556
146,394.05300000001444,99.2390000000014
147,358.2260000000242,107.05999999999767
148,409.54200000001583,124.76799999998184
149,406.7619999999879,111.90299999999115
150,411.0700010000146,110.49499999999534
151,421.5030000000261,128.13399999996182
152,422.58399999997346,121.8849999999511
153,393.4910009999876,98.30199999996694
154,358.1730000000098,107.1239999999525
155,410.5210000000079,125.76499999995576
156,406.90500000002794,112.06899999995949
157,411.1280000000261,110.10799999994924
158,428.045999999973,134.98199999995995
159,422.8169999999809,121.67699999996694
160,393.3499999999767,98.02099999994971
161,358.1280000000261,107.2379999999539
162,402.06099999998696,133.9079999999958
163,414.22200000000885,129.53699999995297
164,407.0119999999879,112.24199999996927
165,411.1689989999868,109.63799999997718
166,430.33600000001024,137.34399999998277
167,422.99499999999534,121.4539999999688
168,392.5019999999786,96.44899999996414
169,358.0999999999767,107.48599999997532
170,400.4780000000028,135.46199999999953
171,418.9859999999753,134.68699999997625
172,407.0769999999902,112.40200000000186
173,411.24599999998463,109.28999999997905
174,433.0100000000093,140.20799999998417
175,433.3169999999809,134.37899999995716
176,423.04999999998836,121.34899999998743
177,392.18900000001304,95.48999999999069
178,397.0,138.43699999997625
179,419.78800000000047,135.55499999999302
180,417.2050000000163,136.3289999999688
181,407.1010000000242,112.57999999995809
182,411.4110000000219,108.91199999995297
183,433.4220000000205,140.62699999997858
184,433.61800000001676,134.03899999998976
185,423.11900000000605,121.1030000000028
186,392.0219999999972,94.7599999999511
187,422.9319999999716,138.98199999995995
188,410.045999999973,143.34799999999814
189,407.09499999997206,112.73399999999674
190,411.64399999997113,108.6019999999553
191,435.045999999973,142.27700000000186
