Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.LINE562,    4.48486,   -47.94, 1.05208E-011,  -173.80, 7.33258E-012,   -97.13,          0,     0.00,    4.48486,   -47.94,    4.48486,   132.06, 1.05208E-011,     6.20, 7.33258E-012,    82.87,          0,     0.00,    4.48486,   132.06
Line.LINE563,    4.48113,   -47.96, 1.21509E-010,    30.60, 6.99098E-010,    87.61,          0,     0.00,    4.48113,   -47.96,    4.48113,   132.04, 1.21509E-010,  -149.40, 6.99098E-010,   -92.39,          0,     0.00,    4.48113,   132.04
Line.LINE564,    31.3536,   -47.99,    31.3217,  -168.29,    22.1859,    71.84,          0,     0.00,    9.01112,  -107.90,    31.3536,   132.01,    31.3217,    11.71,    22.1859,  -108.16,          0,     0.00,    9.01112,    72.10
Line.LINE565, 6.26916E-010,   -21.80, 1.58342E-009,    17.10, 9.59985E-010,   104.04,          0,     0.00, 2.19652E-009,    32.01, 6.26916E-010,   158.20, 1.58342E-009,  -162.90, 9.59985E-010,   -75.96,          0,     0.00, 2.19652E-009,  -147.99
Line.LINE566, 1.7298E-009,   -34.89,    4.47406,  -168.34,    4.42602,    71.85,          0,     0.00,     4.4632,   132.29, 1.7298E-009,   145.11,    4.47406,    11.66,    4.42602,  -108.15,          0,     0.00,     4.4632,   -47.71
Line.LINE567, 1.17321E-010,   -29.74, 6.21658E-011,   -69.44, 1.30156E-010,   116.57,          0,     0.00, 6.54836E-011,     0.00, 1.17321E-010,   150.26, 6.21658E-011,   110.56, 1.30156E-010,   -63.43,          0,     0.00, 6.54836E-011,   180.00
Line.LINE568, 9.41274E-011,   -78.73,    8.94907,  -168.34, 4.14731E-010,   -90.13,          0,     0.00,    8.94907,  -168.34, 9.41274E-011,   101.27,    8.94907,    11.66, 4.14731E-010,    89.87,          0,     0.00,    8.94907,    11.66
Line.LINE569,    4.48605,   -47.93, 5.02233E-010,  -146.60, 9.35406E-010,    84.64,          0,     0.00,    4.48605,   -47.93,    4.48605,   132.07, 5.02233E-010,    33.40, 9.35406E-010,   -95.36,          0,     0.00,    4.48605,   132.07
Line.LINE570,    4.48113,   -47.96, 3.28795E-010,   170.45, 3.50457E-010,    85.24,          0,     0.00,    4.48113,   -47.96,    4.48113,   132.04, 3.28795E-010,    -9.55, 3.50457E-010,   -94.76,          0,     0.00,    4.48113,   132.04
Line.LINE571,    31.3536,   -47.99,    31.3217,  -168.29,    22.1859,    71.84,          0,     0.00,    9.01112,  -107.90,    31.3536,   132.01,    31.3217,    11.71,    22.1859,  -108.16,          0,     0.00,    9.01112,    72.10
Line.LINE572, 2.86595E-009,   -34.66,    4.47406,  -168.34,    4.42602,    71.85,          0,     0.00,     4.4632,   132.29, 2.86595E-009,   145.34,    4.47406,    11.66,    4.42602,  -108.15,          0,     0.00,     4.4632,   -47.71
Line.LINE573, 4.23758E-010,   -15.95, 5.82077E-011,   180.00, 6.58545E-010,   135.00,          0,     0.00, 3.68138E-010,   108.43, 4.23758E-010,   164.05, 5.82077E-011,     0.00, 6.58545E-010,   -45.00,          0,     0.00, 3.68138E-010,   -71.57
Line.LINE574, 1.42039E-010,   -51.37,    8.94907,  -168.34, 4.07519E-010,   -91.02,          0,     0.00,    8.94907,  -168.34, 1.42039E-010,   128.63,    8.94907,    11.66, 4.07519E-010,    88.98,          0,     0.00,    8.94907,    11.66
Line.LINE575,    4.48605,   -47.93, 7.04567E-010,  -144.67, 9.3857E-010,    82.87,          0,     0.00,    4.48605,   -47.93,    4.48605,   132.07, 7.04567E-010,    35.33, 9.3857E-010,   -97.13,          0,     0.00,    4.48605,   132.07
Line.LINE576,    4.48113,   -47.96, 2.77646E-010,    29.00, 4.6657E-010,   -86.42,          0,     0.00,    4.48113,   -47.96,    4.48113,   132.04, 2.77646E-010,  -151.00, 4.6657E-010,    93.58,          0,     0.00,    4.48113,   132.04
Line.LINE577,    31.3536,   -47.99,    31.3217,  -168.29,    22.1859,    71.84,          0,     0.00,    9.01112,  -107.90,    31.3536,   132.01,    31.3217,    11.71,    22.1859,  -108.16,          0,     0.00,    9.01112,    72.10
Line.LINE578, 4.24258E-011,   120.96,    4.47406,  -168.34,    4.42602,    71.85,          0,     0.00,     4.4632,   132.29, 4.24258E-011,   -59.04,    4.47406,    11.66,    4.42602,  -108.15,          0,     0.00,     4.4632,   -47.71
Line.LINE579, 2.19977E-011,    82.87,          0,     0.00, 1.09139E-011,   180.00,          0,     0.00, 2.33122E-011,   110.56, 2.19977E-011,   -97.13,          0,     0.00, 1.09139E-011,     0.00,          0,     0.00, 2.33122E-011,   -69.44
Line.LINE580, 3.69664E-009,   -27.17, 1.87539E-009,   -96.68, 2.33122E-009,    92.86,          0,     0.00, 3.19695E-009,   -22.48, 3.69664E-009,   152.83, 1.87539E-009,    83.32, 2.33122E-009,   -87.14,          0,     0.00, 3.19695E-009,   157.52
Line.LINE581, 3.79125E-010,   -29.93,    8.94907,  -168.34, 2.32831E-010,   -90.00,          0,     0.00,    8.94907,  -168.34, 3.79125E-010,   150.07,    8.94907,    11.66, 2.32831E-010,    90.00,          0,     0.00,    8.94907,    11.66
Line.LINE582,    4.48605,   -47.93, 4.87525E-010,   165.30, 2.48663E-010,   -69.44,          0,     0.00,    4.48605,   -47.93,    4.48605,   132.07, 4.87525E-010,   -14.70, 2.48663E-010,   110.56,          0,     0.00,    4.48605,   132.07
